t v n o
1.2 -63.74427 0.00056465436 1.3540906e-05
1.21 -63.725204 0.00055620057 1.3613579e-05
1.22 -63.706303 0.00054838957 1.3686516e-05
1.23 -63.687572 0.00054117996 1.3759718e-05
1.24 -63.669006 0.00053453288 1.3833182e-05
1.25 -63.6506 0.000528412 1.3906907e-05
1.26 -63.632362 0.00052278326 1.3980892e-05
1.27 -63.614281 0.00051761477 1.4055133e-05
1.28 -63.596359 0.00051287678 1.412963e-05
1.29 -63.578598 0.0005085413 1.4204383e-05
1.3 -63.560989 0.00050458213 1.4279387e-05
1.3099999 -63.543533 0.00050097489 1.4354641e-05
1.3200001 -63.526234 0.00049769651 1.4430146e-05
1.33 -63.509083 0.00049472559 1.4505898e-05
1.34 -63.492081 0.00049204211 1.4581895e-05
1.35 -63.475224 0.00048962713 1.4658137e-05
1.36 -63.458515 0.00048746305 1.4734622e-05
1.37 -63.441948 0.00048553344 1.4811348e-05
1.38 -63.425526 0.00048382283 1.4888313e-05
1.39 -63.409241 0.00048231677 1.4965516e-05
1.4 -63.393097 0.00048100171 1.5042955e-05
1.41 -63.377087 0.000479865 1.512063e-05
1.42 -63.361214 0.00047889477 1.5198537e-05
1.4299999 -63.345478 0.00047807995 1.5276675e-05
1.4400001 -63.329868 0.00047741013 1.5355045e-05
1.45 -63.314392 0.0004768756 1.5433641e-05
1.46 -63.299046 0.00047646725 1.5512467e-05
1.47 -63.283825 0.00047617656 1.5591517e-05
1.48 -63.268726 0.00047599556 1.567079e-05
1.49 -63.253757 0.00047591678 1.5750287e-05
1.5 -63.238907 0.00047593328 1.5830004e-05
1.51 -63.224178 0.00047603846 1.5909942e-05
1.52 -63.209568 0.00047622627 1.5990096e-05
1.53 -63.195076 0.00047649094 1.6070468e-05
1.54 -63.180698 0.00047682715 1.6151056e-05
1.55 -63.166439 0.00047722986 1.6231856e-05
1.5599999 -63.15229 0.00047769441 1.631287e-05
1.5700001 -63.138252 0.00047821642 1.6394093e-05
1.58 -63.124329 0.00047879177 1.6475527e-05
1.59 -63.110508 0.00047941663 1.6557169e-05
1.6 -63.096802 0.00048008742 1.6639018e-05
1.61 -63.083195 0.00048080075 1.6721073e-05
1.62 -63.069698 0.00048155355 1.6803333e-05
1.63 -63.056301 0.00048234282 1.6885795e-05
1.64 -63.043007 0.00048316584 1.6968457e-05
1.65 -63.029816 0.00048402007 1.7051321e-05
1.66 -63.01672 0.00048490308 1.7134384e-05
1.67 -63.003723 0.00048581263 1.7217644e-05
1.6799999 -62.990826 0.00048674663 1.7301101e-05
1.6900001 -62.978024 0.00048770313 1.7384753e-05
1.7 -62.965313 0.00048868032 1.7468597e-05
1.71 -62.952698 0.00048967643 1.7552637e-05
1.72 -62.940174 0.00049068988 1.7636867e-05
1.73 -62.927742 0.00049171923 1.7721286e-05
1.74 -62.915398 0.00049276307 1.7805894e-05
1.75 -62.903145 0.00049382006 1.7890692e-05
1.76 -62.890976 0.00049488898 1.7975675e-05
1.77 -62.878895 0.00049596874 1.8060846e-05
1.78 -62.866901 0.00049705827 1.8146198e-05
1.79 -62.854988 0.00049815659 1.8231734e-05
1.8 -62.843163 0.00049926277 1.8317454e-05
1.8099999 -62.831413 0.00050037593 1.8403354e-05
1.8200001 -62.819748 0.00050149526 1.8489432e-05
1.83 -62.808163 0.00050262007 1.8575691e-05
1.84 -62.796658 0.00050374964 1.8662127e-05
1.85 -62.785229 0.00050488336 1.8748739e-05
1.86 -62.77388 0.00050602056 1.8835528e-05
1.87 -62.762604 0.00050716067 1.892249e-05
1.88 -62.751404 0.00050830323 1.9009625e-05
1.89 -62.740276 0.00050944771 1.9096933e-05
1.9 -62.729225 0.0005105937 1.9184412e-05
1.91 -62.718243 0.00051174074 1.9272062e-05
1.92 -62.707336 0.00051288848 1.9359879e-05
1.9299999 -62.696499 0.00051403651 1.9447867e-05
1.9400001 -62.68573 0.00051518454 1.9536021e-05
1.95 -62.67503 0.00051633222 1.962434e-05
1.96 -62.664398 0.00051747926 1.9712827e-05
1.97 -62.653835 0.00051862543 1.9801477e-05
1.98 -62.643337 0.00051977049 1.9890289e-05
1.99 -62.632908 0.00052091415 1.9979265e-05
2 -62.62254 0.00052205625 2.0068401e-05
2.01 -62.612236 0.00052319659 2.0157699e-05
2.02 -62.601997 0.00052433496 2.0247156e-05
2.03 -62.59182 0.00052547117 2.0336771e-05
2.04 -62.581703 0.00052660517 2.0426545e-05
2.05 -62.571651 0.00052773679 2.0516474e-05
2.0599999 -62.561657 0.00052886584 2.0606562e-05
2.0699999 -62.551723 0.00052999222 2.0696803e-05
2.0799999 -62.541847 0.00053111592 2.0787198e-05
2.0899999 -62.532032 0.00053223671 2.0877747e-05
2.0999999 -62.52227 0.00053335453 2.0968448e-05
2.1099999 -62.512569 0.00053446938 2.1059301e-05
2.1199999 -62.502922 0.00053558114 2.1150305e-05
2.1300001 -62.493332 0.00053668971 2.1241458e-05
2.1400001 -62.483799 0.00053779507 2.1332762e-05
2.1500001 -62.474316 0.00053889718 2.1424214e-05
2.1600001 -62.46489 0.0005399959 2.1515811e-05
2.1700001 -62.455513 0.00054109137 2.1607557e-05
2.1800001 -62.44619 0.00054218335 2.1699449e-05
2.1900001 -62.43692 0.00054327201 2.1791484e-05
2.2 -62.427704 0.00054435711 2.1883665e-05
2.21 -62.418533 0.00054543879 2.197599e-05
2.22 -62.409416 0.00054651703 2.2068458e-05
2.23 -62.400345 0.00054759171 2.2161066e-05
2.24 -62.391327 0.00054866285 2.2253816e-05
2.25 -62.382355 0.0005497305 2.2346709e-05
2.26 -62.373432 0.00055079459 2.2439739e-05
2.27 -62.364555 0.00055185519 2.2532909e-05
2.28 -62.355724 0.00055291218 2.2626218e-05
2.29 -62.346943 0.00055396568 2.2719665e-05
2.3 -62.338203 0.00055501563 2.2813247e-05
2.3099999 -62.32951 0.00055606209 2.2906966e-05
2.3199999 -62.320866 0.000557105 2.3000821e-05
